case_id,width,height,blur,n_boxes,classes
1090524726072025051031603544,1280,1280,991.44508049559,0,[]
110002513032026010652397160,1599,899,853.7533067119418,1,[0]
110002515012026020614817057,1126,1599,794.8408009599615,4,"[0, 1, 7, 5]"
110002515012026020645572434,1280,720,374.88113975312854,0,[]
110003201042026014704634514,1600,1200,959.5728577465687,1,[0]
110003201042026015617050374,739,1600,122.17772822294647,4,"[0, 6, 1, 7]"
110003214082025011742078245,1920,1080,830.7579871071385,0,[]
110003214082025042506828749_page01,1240,1755,1328.597011705425,0,[]
110003214082025042824887444_page01,1240,1755,899.4821904954163,1,[0]
110003214082025042913116939_page01,1240,1755,384.31529928691504,4,"[0, 1, 4, 6]"
110003214082025043348372662_page01,1240,1755,482.3026174063668,2,"[0, 1]"
110003214082025043517168178_page01,1240,1755,575.6101683569856,0,[]
110003214082025043619764512_page01,1240,1755,579.496201635308,3,"[0, 5, 6]"
110003214082025044057617664_page01,1240,1755,521.8095459976105,3,"[0, 1, 7]"
110003214082025044243029136_page01,1240,1755,725.2360760313164,4,"[0, 1, 6, 4]"
110003214082025044328385395_page01,1240,1755,676.7485928747943,4,"[0, 3, 4, 1]"
110003214082025044427522754_page01,1240,1755,922.7992486903014,3,"[0, 1, 3]"
110003214082025044513012810_page01,1240,1755,686.2077874265009,4,"[0, 1, 8, 5]"
110003220122025120834091862,1125,1500,9.146228122548148,4,"[0, 6, 2, 5]"
110003220122025120834095997,960,1280,68.15714921472801,0,[]
110003227012026025210709477,1200,1600,99.4044140874121,4,"[0, 8, 8, 4]"
110003227012026025210711836,1200,1600,265.497311183801,0,[]
110003227012026030111774619,1599,899,128.29659873701715,4,"[0, 2, 3, 3]"
110003227012026030258095388,1599,899,216.13497084263594,4,"[0, 4, 7, 6]"
110003231012026014803902145,1500,1500,335.37846873487626,4,"[0, 6, 3, 5]"
110003231012026014803931200,1536,1536,530.194064068194,0,[]
110003606042026123803711457,738,1600,610.5661971615863,4,"[0, 5, 8, 4]"
110003608012026045551462257,720,1280,1716.3578742735956,0,[]
110003611012026064121348231,720,1280,217.80890504209611,4,"[0, 5, 6, 7]"
110003624022026031157876223,720,1280,319.4141312170664,4,"[0, 4, 3, 8]"
110003624022026031323112979,899,1599,251.5723097838374,0,[]
110003624022026031438099512,1599,899,246.35540946188937,4,"[0, 5, 6, 2]"
110003624022026032431067905,901,1600,354.6008492149472,0,[]
110003624022026032558147521,901,1600,234.10286436090675,4,"[0, 8, 5, 4]"
110003624022026032835081992,1280,960,311.74364305901463,4,"[0, 8, 8, 3]"
110003630122025101058617314,1600,713,336.17280329457725,4,"[0, 2, 6, 3]"
110003630122025101623579035,1600,713,271.0589911854259,4,"[0, 3, 6, 7]"
110007502082025052807425816,539,1221,231.4146438504302,4,"[0, 4, 7, 8]"
110007502082025053023735404,1152,520,382.39981278338604,4,"[0, 8, 1, 6]"
110007502082025053256096355,1152,520,1302.8193539020406,4,"[0, 6, 1, 3]"
110007502082025053554915142,520,1152,1700.5572766319162,4,"[0, 1, 5, 5]"
110007513122025113345618381,720,1600,221.28334411508897,4,"[0, 4, 3, 7]"
110007513122025113345618391,718,1600,343.2593497144221,4,"[0, 5, 3, 5]"
110007516022026074402638654,718,1600,90.4034435617813,4,"[0, 3, 1, 8]"
110007517032026022702459797,1280,720,1586.167315860295,0,[]
110007517032026022702463986,1280,720,646.9916442249427,4,"[0, 8, 5, 1]"
110007517032026024010241791,1599,720,48.11441529792355,0,[]
110007517032026024010243039,1599,720,242.103562745633,4,"[0, 1, 8, 5]"
110007519112025122637514511,900,1600,424.75631585196703,0,[]
110007523012026021142423239,899,1599,217.84195189400464,4,"[0, 2, 7, 5]"
110007523012026021142454856,1599,899,399.5377095389029,4,"[0, 1, 4, 5]"
110007523022026050137662316,1600,1200,183.7076654010284,4,"[0, 1, 5, 8]"
110007523022026050137680979,1600,1200,583.7630144571604,4,"[0, 1, 3, 2]"
110007524032026034502954851,718,1600,78.01547379765236,4,"[0, 2, 7, 8]"
110007704092025120403003545,1200,1600,110.3996458171525,4,"[0, 4, 3, 6]"
110007704092025120603226521,900,1600,522.3720138042819,4,"[0, 8, 1, 6]"
110007704092025120751351281,899,1599,81.63573923369428,4,"[0, 4, 7, 1]"
110007704092025123720317455,1200,1600,46.85340146255181,0,[]
110007704102025052302256916,960,1280,461.56326751285127,4,"[0, 3, 2, 8]"
110007710022026071822906497,960,1280,670.9596581787109,0,[]
110007715032026101743148067,1200,1600,277.5068675432943,0,[]
110007715032026102113559598,900,1600,136.79113534142314,4,"[0, 3, 5, 1]"
110007723022026032908288164,1280,960,331.7338834470087,4,"[0, 1, 3, 7]"
110007723022026033429162719,960,1280,958.92495112045,4,"[0, 8, 4, 6]"
110007723022026033610579276,1280,960,1427.5417128624063,4,"[0, 8, 5, 7]"
110007723022026033746149349,960,1280,1605.5633870092365,0,[]
110007723022026033955634414,1280,960,292.4543717398935,4,"[0, 2, 5, 4]"
110007723022026095216969819,1536,1536,576.0109514819407,0,[]
110007723022026100006010400,1536,1536,1992.1131845653154,4,"[0, 5, 8, 1]"
110007723022026100156365589,1536,1536,1506.4453081073991,0,[]
110007725022026123452627264,720,1280,567.0407873019171,0,[]
110007725022026123739180957,899,1599,532.0832469955667,0,[]
110007725082025022350418813,1200,1600,115.50568661932263,0,[]
110007725082025022515010127,1200,1600,128.01922377339164,0,[]
110007725082025022616895074,720,1280,149.63653532758175,4,"[0, 8, 2, 1]"
110007729012026050823468187,1200,1600,89.04171723280815,4,"[0, 8, 4, 2]"
110007729012026050943674028,1200,1600,66.22413066847629,4,"[0, 6, 4, 2]"
110007729012026051113457008,899,1599,137.0866453520955,4,"[0, 6, 3, 5]"
110007729112025110700174026,1600,1200,128.71756717360677,4,"[0, 7, 6, 5]"
110007731032026020534692677,900,1600,619.6795187006173,4,"[0, 5, 8, 4]"
110007731032026020757246233,900,1600,854.9288828142703,0,[]
110010001102025013836618446,1600,784,319.5807150828008,0,[]
110010009012026120713296136,1280,960,675.8501459295691,4,"[0, 3, 5, 3]"
110010012022026012116958999,1600,1200,21.457942023728027,4,"[0, 5, 5, 8]"
